name
Waterfall climbing cave fish
Cichlid
Opistognathidae
Ocean sunfish
Lophius
Pilot fish
Pygmy seahorse
Rainbow runner
Red-bellied piranha
Sailfish
Salmon
Sawtooth eel
Mackerel scad
Carangidae
Yellow goatfish
Yellowfin tuna
Giant salamander
Texas blind salamander
Bactrian camel
Blue whale
Bongo (antelope)
Bottlenose dolphin
Dromedary
Dusky dolphin
Guanaco
Humpback whale
Impala
Lechwe
Markhor
Mongolian gazelle
Musk deer
Muskox
Pygmy hog
Red river hog
Walia ibex
Wild yak
Sunflower sea star
Adélie penguin
Baikal teal
Bat hawk
Black stork
Blood pheasant
Booby
Cave swiftlet
Demoiselle crane
Eider
Frigatebird
Gila woodpecker
Snow goose
Ground tit
Himalayan monal
King penguin
Lesser florican
Little auk
Plover
Lagopus
Red-billed quelea
Roseate spoonbill
Rufous-bellied eagle
Sandhill crane
Snowfinch
Snow petrel
Socotra cormorant
Tragopan
Wattled crane
Wood stork
Mussel
Amur leopard
Arctic fox
Brown fur seal
Elephant seal
Ethiopian wolf
Fennec fox
Baikal seal
Giant panda
African wild dog
Polar bear
Cougar
Red panda
Sea lion
Tibetan sand fox
Walrus
Grimpoteuthis
Nautilus
Vampire squid
Great white shark
Manta ray
Sand shark
Stingray
Whale shark
Krill
Colugo
Red kangaroo
Sand dollar
Black fly
Arachnocampa
Dobsonfly
Chironomidae
Pika
Atyopsis
Isopoda
Majoidea
Squat lobster
Capuchin monkey
Chimpanzee
Golden snub-nosed monkey
Howler monkey
Orangutan
Siamang
Squirrel monkey
Tamarin
African forest elephant
Sea spider
Remipedia
Laticauda colubrina
Platysaurus
Green sea turtle
Mugger crocodile
Nile crocodile
Dugong
Salp
