article,Anom1Sum,Anom1Mobile,Anom1Desktop,Anom2Sum,Anom2Mobile,Anom2Desktop,mean_views,median_views,max_views,baseline_2015,max_views_broadcast,tweet,seconds,taxa_gen,status,episode,diff,pred_prey,diaries
Millipede,0,0,0,0,1,0,1257,1152,32287,1135,1795,7,63,diplopoda,,3,660,other,0
Mouse,0,0,0,0,0,0,1318,1294,4662,1345,1735,11,13,mammalia,,2,390,other,0
Namaqua_chameleon,0,2,0,1,2,1,27,24,195,24,102,57,35,reptilia,1,4,78,other,0
Noddy_(tern),0,0,0,1,1,0,9,7,313,7,24,0,193,aves,1,1,17,other,0
Nubian_ibex,2,2,2,2,2,2,145,125,1124,116,1124,94,374,mammalia,3,2,1008,prey,0
Oryx,0,1,0,1,1,0,461,447,1499,442,684,2,82,mammalia,2,4,242,other,0
Ostrich,0,0,0,0,1,0,2259,2202,7928,2178,2846,57,47,aves,1,5,668,other,0
Pachydactylus_rangei,1,1,0,2,1,0,11,10,33,8,33,58,27,reptilia,,4,25,other,0
Pale_chanting_goshawk,1,2,0,2,2,1,14,13,86,13,86,18,65,aves,1,4,73,pred,0
Peregrine_falcon,0,0,0,0,1,0,3286,2212,342671,1949,3318,30,236,aves,1,6,1369,pred,0
Pigeon,0,0,0,0,0,0,214,205,3059,214,202,64,209,aves,1,6,-12,prey,0
Pygmy_three-toed_sloth,2,2,1,2,2,2,140,110,2657,96,1469,122,198,mammalia,5,1,1373,other,0
Raccoon,0,1,0,1,1,0,3728,3577,15775,3638,6008,49,223,mammalia,1,6,2370,other,0
Railroad_worm,2,2,2,2,2,2,45,27,1469,25,1469,20,95,insecta,,3,1444,other,0
Rat,0,0,0,0,0,0,1786,1734,12599,1894,1898,,7,mammalia,,3,4,other,1
Red_bird-of-paradise,1,1,1,2,2,2,34,27,669,28,669,,124,aves,2,3,641,other,0
Red_fox,0,0,0,0,0,0,2447,2324,19466,2239,3035,42,196,mammalia,1,2,796,pred,0
Rhesus_macaque,0,0,0,0,1,0,538,522,1327,500,811,14,167,mammalia,1,6,311,other,0
Rhinoceros,0,0,0,0,0,0,2389,2322,5137,2326,2462,32,214,mammalia,3,5,136,other,1
Ring-tailed_lemur,0,0,0,0,0,0,468,435,1569,427,496,,9,mammalia,4,1,69,other,0
River_dolphin,2,2,1,2,2,1,296,251,2719,250,2719,236,552,mammalia,5,3,2469,other,1
Saiga_antelope,1,2,1,2,2,2,335,243,5618,300,4936,23,160,mammalia,5,5,4636,other,0
Sandgrouse,2,2,2,2,2,2,60,52,725,50,725,22,248,aves,1,4,675,prey,0
Serval,0,0,0,0,1,0,1399,1265,4899,1205,3336,63,246,mammalia,1,5,2131,pred,0
Seychelles_fody,2,2,0,2,2,1,4,4,25,4,25,0,49,aves,2,1,21,other,0
Shearwater,1,1,0,2,2,0,106,102,299,102,299,3,20,aves,2,1,197,other,0
Sifaka,0,0,0,0,0,0,112,104,879,107,175,,181,mammalia,4,1,68,other,0
Skua,0,0,0,0,0,0,230,210,836,221,421,1,27,aves,1,1,200,other,1
Sloth_bear,1,1,0,1,2,0,1494,1197,7117,875,7004,65,360,mammalia,3,5,6129,other,1
Smooth-coated_otter,0,0,0,0,0,0,103,99,320,90,130,19,15,mammalia,3,6,40,other,0
Snares_penguin,1,1,1,2,2,1,43,34,537,30,202,,60,aves,3,1,172,other,0
Snow_Leopard,0,0,0,1,1,0,102,91,1238,137,227,474,574,mammalia,4,2,90,other,0
Southern_African_vlei_rat,0,1,0,1,2,1,3,2,168,2,21,,173,mammalia,1,5,19,prey,0
Southern_carmine_bee-eater,2,2,2,2,2,2,19,18,130,17,130,27,240,aves,1,5,113,other,0
Spider,0,0,0,1,1,0,3173,2479,95323,2426,5651,110,8,arachnida,,3,3225,other,1
Spider_monkey,1,1,0,1,2,0,638,604,1323,632,1205,73,308,mammalia,4,3,573,other,0
Spotted_hyena,1,1,0,2,2,2,881,833,5695,823,2696,33,302,mammalia,1,6,1873,other,0
Squirrel,0,0,0,0,0,0,1906,1802,38686,1822,2173,5,47,mammalia,,2,351,other,0
Starling,0,1,0,0,1,0,663,628,2232,652,1296,171,155,aves,1,6,644,other,0
Sword-billed_hummingbird,1,2,1,2,2,2,53,33,3763,28,694,,166,aves,1,3,666,other,0
Termite,0,0,0,0,0,0,1712,1606,7027,1551,1607,,64,insecta,,5,56,other,0
Tiger,0,0,0,0,0,0,7026,6988,13874,6975,7977,85,505,mammalia,4,5,1002,other,1
Uroplatus,0,0,0,0,0,0,71,35,2909,38,72,5,44,reptilia,,3,34,other,0
Vole,0,0,0,0,0,0,1026,1008,2453,998,990,33,22,mammalia,,5,-8,prey,0
Wasp,0,0,0,0,0,0,2142,2178,4248,2080,1534,100,169,insecta,,3,-546,pred,0
Wels_catfish,1,2,1,2,2,2,390,339,2967,351,2967,73,166,actinopterygii,1,6,2616,pred,0
Wild_water_buffalo,0,0,0,0,0,0,323,315,640,289,483,79,407,mammalia,4,5,194,other,1
Wildebeest,0,1,0,0,1,0,922,904,5462,902,1276,6,36,mammalia,1,5,374,other,0
Wilson's_bird-of-paradise,2,2,2,2,2,2,49,39,1134,38,1134,,228,aves,2,3,1096,other,0
Yellow_crazy_ant,2,2,1,2,2,2,191,162,1373,160,1322,9,98,insecta,,1,1162,pred,0
Zebra,0,1,0,0,1,0,2087,2060,3960,2100,3025,42,171,mammalia,2,4,925,other,0
