date,standardised_amount
01/01/2016,0.374455304
02/01/2016,-0.340836983
03/01/2016,-0.109508413
04/01/2016,0.130951547
05/01/2016,-0.176471946
06/01/2016,-0.158209165
07/01/2016,6.83E-05
08/01/2016,0.030506247
09/01/2016,0.465769213
10/01/2016,-0.136902586
11/01/2016,-0.456501267
12/01/2016,-0.264498555
13/01/2016,-0.456501267
14/01/2016,-0.298223825
15/01/2016,0.076163202
16/01/2016,-0.273873449
17/01/2016,0.106601171
18/01/2016,0.532732746
19/01/2016,0.487075792
20/01/2016,-0.117117906
21/01/2016,-0.395625328
22/01/2016,0.596652483
23/01/2016,0.036593841
24/01/2016,-0.424541399
25/01/2016,-0.152121571
26/01/2016,-0.365187358
27/01/2016,-0.349968374
28/01/2016,-0.18255954
29/01/2016,-0.030369692
30/01/2016,-0.410844313
31/01/2016,-0.328661795
01/02/2016,-0.456501267
02/02/2016,-0.07298285
03/02/2016,-0.426063298
04/02/2016,2.048543635
05/02/2016,-0.304311419
06/02/2016,-0.395625328
07/02/2016,-0.456501267
08/02/2016,-0.197778525
09/02/2016,-0.091245631
10/02/2016,-0.357577866
11/02/2016,-0.456501267
12/02/2016,-0.456501267
13/02/2016,-0.249523074
14/02/2016,-0.380406343
15/02/2016,1.525010557
16/02/2016,-0.377362546
17/02/2016,-0.426063298
18/02/2016,-0.334749389
19/02/2016,4.276603014
20/02/2016,-0.194734728
21/02/2016,-0.456501267
22/02/2016,0.380542898
23/02/2016,-0.395625328
24/02/2016,-0.365187358
25/02/2016,-0.426063298
26/02/2016,0.012243465
27/02/2016,0.952776728
28/02/2016,-0.440216954
29/02/2016,-0.304311419
01/03/2016,-0.456501267
02/03/2016,-0.091245631
03/03/2016,1.065397215
04/03/2016,-0.060807662
05/03/2016,-0.404756719
06/03/2016,-0.456501267
07/03/2016,-0.152121571
08/03/2016,1.019740261
09/03/2016,0.001894556
10/03/2016,-0.426063298
11/03/2016,-0.38345014
12/03/2016,-0.349968374
13/03/2016,-0.456501267
14/03/2016,1.090782482
15/03/2016,0.547951731
16/03/2016,0.018331059
17/03/2016,-0.121683601
18/03/2016,-0.426063298
19/03/2016,0.237484441
20/03/2016,0.678835001
21/03/2016,-0.456501267
22/03/2016,-0.267785855
23/03/2016,-0.24343548
24/03/2016,-0.374318749
25/03/2016,0.152258126
26/03/2016,-0.273873449
27/03/2016,-0.38345014
28/03/2016,-0.456501267
29/03/2016,-0.456501267
30/03/2016,-0.426063298
31/03/2016,-0.456501267
01/04/2016,-0.365187358
02/04/2016,-0.456501267
03/04/2016,-0.273873449
04/04/2016,-0.302059009
05/04/2016,-0.228216495
06/04/2016,-0.077457231
07/04/2016,0.304447974
08/04/2016,1.293681988
09/04/2016,-0.456501267
10/04/2016,-0.456501267
11/04/2016,-0.18255954
12/04/2016,-0.273873449
13/04/2016,-0.060807662
14/04/2016,-0.152121571
15/04/2016,-0.456501267
16/04/2016,-0.322787267
17/04/2016,0.103557374
18/04/2016,-0.015150707
19/04/2016,-0.136902586
20/04/2016,-0.456501267
21/04/2016,1.034198297
22/04/2016,-0.456501267
23/04/2016,-0.106464616
24/04/2016,0.706229174
25/04/2016,-0.456501267
26/04/2016,-0.152121571
27/04/2016,-0.334749389
28/04/2016,-0.273873449
29/04/2016,-0.419975704
30/04/2016,-0.456501267
01/05/2016,-0.374318749
02/05/2016,-0.334749389
03/05/2016,1.339338942
04/05/2016,-0.149077774
05/05/2016,2.349879535
06/05/2016,0.63926564
07/05/2016,-0.456501267
08/05/2016,-0.426063298
09/05/2016,-0.365187358
10/05/2016,-0.456501267
11/05/2016,-0.438238486
12/05/2016,-0.121683601
13/05/2016,-0.456501267
14/05/2016,0.304447974
15/05/2016,-0.365187358
16/05/2016,0.094425983
17/05/2016,1.430652851
18/05/2016,-0.395625328
19/05/2016,-0.289092434
20/05/2016,-0.091245631
21/05/2016,-0.152121571
22/05/2016,-0.18255954
23/05/2016,6.83E-05
24/05/2016,-0.349968374
25/05/2016,0.365323913
26/05/2016,0.012243465
27/05/2016,-0.197778525
28/05/2016,-0.106464616
29/05/2016,-0.258654465
30/05/2016,-0.076026647
31/05/2016,0.25879102
01/06/2016,2.075937808
02/06/2016,-0.167340556
03/06/2016,0.252703426
04/06/2016,-0.456501267
05/06/2016,-0.34388078
06/06/2016,-0.395625328
07/06/2016,1.369776912
08/06/2016,-0.426063298
09/06/2016,-0.456501267
10/06/2016,-0.316486607
11/06/2016,-0.209953713
12/06/2016,-0.07298285
13/06/2016,-0.456501267
14/06/2016,-0.319530404
15/06/2016,-0.334749389
16/06/2016,-0.091245631
17/06/2016,-0.395625328
18/06/2016,-0.365187358
19/06/2016,-0.097333225
20/06/2016,-0.456501267
21/06/2016,-0.35301217
22/06/2016,-0.456501267
23/06/2016,-0.423019501
24/06/2016,-0.334749389
25/06/2016,-0.456501267
26/06/2016,-0.410844313
27/06/2016,-0.456501267
28/06/2016,-0.456501267
29/06/2016,1.155554482
30/06/2016,0.091382186
01/07/2016,0.173564705
02/07/2016,0.365323913
03/07/2016,-0.395625328
04/07/2016,2.620777465
05/07/2016,-0.365187358
06/07/2016,-0.410844313
07/07/2016,-0.456501267
08/07/2016,-0.456501267
09/07/2016,0.045725232
10/07/2016,-0.334749389
11/07/2016,1.430652851
12/07/2016,-0.279961043
13/07/2016,-0.286048637
14/07/2016,0.060944217
15/07/2016,-0.441282282
16/07/2016,-0.441282282
17/07/2016,-0.38345014
18/07/2016,0.02746245
19/07/2016,-0.456501267
20/07/2016,-0.456501267
21/07/2016,-0.41388811
22/07/2016,-0.456501267
23/07/2016,-0.456501267
24/07/2016,1.101922779
25/07/2016,-0.076026647
26/07/2016,-0.066895256
27/07/2016,-0.426063298
28/07/2016,-0.228216495
29/07/2016,-0.260176363
30/07/2016,-0.456501267
31/07/2016,-0.456501267
01/08/2016,-0.255610668
02/08/2016,-0.304311419
03/08/2016,-0.273873449
04/08/2016,-0.456501267
05/08/2016,-0.456501267
06/08/2016,9.902544259
07/08/2016,-0.456501267
08/08/2016,-0.091245631
09/08/2016,-0.395625328
10/08/2016,0.243572035
11/08/2016,-0.304311419
12/08/2016,-0.381928242
13/08/2016,-0.273873449
14/08/2016,-0.407800516
15/08/2016,-0.365187358
16/08/2016,-0.395625328
17/08/2016,-0.261698262
18/08/2016,-0.273873449
19/08/2016,-0.392581531
20/08/2016,0.761017519
21/08/2016,-0.410844313
22/08/2016,-0.395625328
23/08/2016,2.684697201
24/08/2016,-0.060807662
25/08/2016,-0.271225346
26/08/2016,-0.34296764
27/08/2016,-0.419975704
28/08/2016,-0.24343548
29/08/2016,-0.322574201
30/08/2016,0.240162982
31/08/2016,-0.456501267
01/09/2016,0.243572035
02/09/2016,-0.395625328
03/09/2016,-0.456501267
04/09/2016,-0.395625328
05/09/2016,-0.435194689
06/09/2016,-0.456501267
07/09/2016,-0.155165368
08/09/2016,-0.346924577
09/09/2016,-0.456501267
10/09/2016,0.301404177
11/09/2016,-0.419975704
12/09/2016,-0.456501267
13/09/2016,-0.152121571
14/09/2016,-0.456501267
15/09/2016,-0.298223825
16/09/2016,-0.030369692
17/09/2016,-0.380406343
18/09/2016,-0.030369692
19/09/2016,-0.319530404
20/09/2016,-0.316973614
21/09/2016,2.683753624
22/09/2016,-0.301267622
23/09/2016,-0.082114241
24/09/2016,-0.246479277
25/09/2016,-0.380406343
26/09/2016,-0.045588677
27/09/2016,-0.28300484
28/09/2016,-0.426063298
29/09/2016,-0.167340556
30/09/2016,-0.139581127
01/10/2016,-0.152121571
02/10/2016,-0.24343548
03/10/2016,-0.301267622
04/10/2016,0.137039141
05/10/2016,-0.020233848
06/10/2016,-0.21299751
07/10/2016,-0.121744477
08/10/2016,-0.456501267
09/10/2016,-0.456501267
10/10/2016,-0.453031339
11/10/2016,-0.456501267
12/10/2016,-0.223650799
13/10/2016,-0.441282282
14/10/2016,-0.426063298
15/10/2016,-0.304311419
16/10/2016,-0.115596007
17/10/2016,-0.009063113
18/10/2016,-0.380406343
19/10/2016,-0.25271906
20/10/2016,0.188783689
21/10/2016,-0.456501267
22/10/2016,-0.365187358
23/10/2016,0.812762067
24/10/2016,6.679985098
25/10/2016,-0.304311419
26/10/2016,0.033550044
27/10/2016,-0.058616128
28/10/2016,-0.453213967
29/10/2016,-0.273873449
30/10/2016,-0.438238486
31/10/2016,-0.34388078
01/11/2016,-0.24343548
02/11/2016,1.750251533
03/11/2016,-0.124727398
04/11/2016,-0.388015836
05/11/2016,-0.365187358
06/11/2016,-0.395625328
07/11/2016,0.021374856
08/11/2016,-0.293171122
09/11/2016,-0.441982356
10/11/2016,0.426199853
11/11/2016,-0.152121571
12/11/2016,-0.38345014
13/11/2016,1.52196676
14/11/2016,0.502294777
15/11/2016,-0.258654465
16/11/2016,-0.091245631
17/11/2016,-0.206909916
18/11/2016,-0.060807662
19/11/2016,-0.118639804
20/11/2016,-0.18255954
21/11/2016,-0.273873449
22/11/2016,-0.395625328
23/11/2016,-0.145820911
24/11/2016,1.278463003
25/11/2016,0.365323913
26/11/2016,1.310757689
27/11/2016,0.608827671
28/11/2016,1.11105417
29/11/2016,0.028162524
30/11/2016,-0.156687266
01/12/2016,0.426199853
02/12/2016,-0.456501267
03/12/2016,-0.222128901
04/12/2016,-0.448283015
05/12/2016,-0.060807662
06/12/2016,-0.21299751
07/12/2016,-0.228216495
08/12/2016,-0.456501267
09/12/2016,-0.380406343
10/12/2016,-0.395625328
11/12/2016,0.735084369
12/12/2016,-0.407800516
13/12/2016,0.535776543
14/12/2016,-0.24343548
15/12/2016,9.944152964
16/12/2016,0.124863953
17/12/2016,-0.24343548
18/12/2016,-0.24343548
19/12/2016,-0.060807662
20/12/2016,0.561648818
21/12/2016,0.806674473
22/12/2016,0.106601171
23/12/2016,-0.197778525
24/12/2016,0.106601171
25/12/2016,-0.261698262
26/12/2016,-0.18255954
27/12/2016,-0.374318749
28/12/2016,0.243572035
29/12/2016,-0.076026647
30/12/2016,6.83E-05
31/12/2016,0.547951731
